"Province";"Name";"Population";"Longitude";"Latitude";"Autonomous_Community";"Woeid";"Radius"
"Bizkaia";"Bilbao";345110;-2.92;43.25;"País Vasco/Euskadi";"754542";"60km"
"Las Palmas";"Las Palmas de Gran Canaria";377650;-15.41;28.09;"Canarias";"764814";"130km"
"Illes Balears";"Palma";406492;2.65;39.57;"Illes Balears";"769293";"150km"
"Murcia";"Murcia";443243;-1.12;37.98;"Región de Murcia";"768026";"40km"
"Málaga";"Málaga";569002;-4.41;36.72;"Andalucía";"766356";"40km"
"Zaragoza";"Zaragoza";664938;-0.87;41.65;"Aragón";"779063";"100km"
"Sevilla";"Sevilla";689434;-5.99;37.38;"Andalucía";"774508";"45km"
"València/Valencia";"València";787808;-0.37;39.47;"Comunitat Valenciana";"776688";"60km"
"Barcelona";"Barcelona";1620809;2.17;41.38;"Cataluña/Catalunya";"753692";"140km"
"Madrid";"Madrid";3182981;-3.68;40.4;"Comunidad de Madrid";"766273";"40km"
